"Model","Delta","Method","Power","MDD"
201,0,"statL_quadexp",8.13333333333333,50.7950819672131
201,0.05,"statL_quadexp",8.06666666666667,57.9669421487603
201,0.1,"statL_quadexp",8.33333333333333,56.76
201,0.15,"statL_quadexp",8.53333333333333,56.0859375
201,0.2,"statL_quadexp",10.7333333333333,55.2670807453416
201,0.25,"statL_quadexp",11.5333333333333,54.1734104046243
201,0.3,"statL_quadexp",14.6666666666667,55.9818181818182
201,0.35,"statL_quadexp",17.5333333333333,56.680608365019
201,0.4,"statL_quadexp",24.5333333333333,55.625
201,0.45,"statL_quadexp",31.3333333333333,56.4468085106383
201,0.5,"statL_quadexp",38.7333333333333,57.5301204819277
201,0.55,"statL_quadexp",46.4666666666667,55.8220946915351
201,0.6,"statL_quadexp",58.4,55.6609589041096
201,0.65,"statL_quadexp",69.2666666666667,53.8257940327238
201,0.7,"statL_quadexp",81.4,51.4602784602785
201,0.75,"statL_quadexp",90.8666666666667,47.8877476155539
201,0.8,"statL_quadexp",96.9333333333333,45.130674002751
201,0.85,"statL_quadexp",98.9333333333333,40.7378706199461
201,0.9,"statL_quadexp",99.8666666666667,37.0066755674232
202,0,"statL_quadexp",6.26666666666667,55.0425531914894
202,0.05,"statL_quadexp",5.53333333333333,55.8072289156626
202,0.1,"statL_quadexp",6.46666666666667,58.0515463917526
202,0.15,"statL_quadexp",6.33333333333333,56.4842105263158
202,0.2,"statL_quadexp",8.93333333333333,58.0373134328358
202,0.25,"statL_quadexp",10.4666666666667,59.8407643312102
202,0.3,"statL_quadexp",12.6,57.9470899470899
202,0.35,"statL_quadexp",15.9333333333333,57.6485355648536
202,0.4,"statL_quadexp",18.5333333333333,58.5863309352518
202,0.45,"statL_quadexp",26.0666666666667,59.6726342710997
202,0.5,"statL_quadexp",31.7333333333333,58.6134453781513
202,0.55,"statL_quadexp",40.3333333333333,56.9785123966942
202,0.6,"statL_quadexp",52.4666666666667,56.2681067344346
202,0.65,"statL_quadexp",64.8666666666667,55.4357656731757
202,0.7,"statL_quadexp",73.4666666666667,52.9773139745917
202,0.75,"statL_quadexp",85.8,50.6394716394716
202,0.8,"statL_quadexp",94.1333333333333,48.1664305949009
202,0.85,"statL_quadexp",98,44.0707482993197
202,0.9,"statL_quadexp",99.9333333333333,39.8458972648432
203,0,"statL_quadexp",1.6,59.7083333333333
203,0.05,"statL_quadexp",1.73333333333333,57.1538461538462
203,0.1,"statL_quadexp",1.53333333333333,56.5652173913044
203,0.15,"statL_quadexp",2.46666666666667,61.5675675675676
203,0.2,"statL_quadexp",2.4,57.5555555555556
203,0.25,"statL_quadexp",1.6,57.1666666666667
203,0.3,"statL_quadexp",1.93333333333333,57.8275862068966
203,0.35,"statL_quadexp",2.4,57.0833333333333
203,0.4,"statL_quadexp",3.66666666666667,58.4909090909091
203,0.45,"statL_quadexp",3.4,61.843137254902
203,0.5,"statL_quadexp",4.8,59.5
203,0.55,"statL_quadexp",6.2,61.9569892473118
203,0.6,"statL_quadexp",7.6,58.9473684210526
203,0.65,"statL_quadexp",10.4666666666667,62.9235668789809
203,0.7,"statL_quadexp",13.6,63.1617647058824
203,0.75,"statL_quadexp",21.3333333333333,63.878125
203,0.8,"statL_quadexp",28.6,63.3216783216783
203,0.85,"statL_quadexp",41.2666666666667,62.6930533117932
203,0.9,"statL_quadexp",55.5333333333333,61.7671068427371
