Stat,m,L,N1,N2,N3,N4,N5,N6,N7,N8
Qmk,100,1,7.7 ,8.0 ,7.3 ,7.0 ,10.0 ,5.4 ,11.1 ,10.5 
Qmk,100,2,7.3 ,6.7 ,7.1 ,7.4 ,9.8 ,8.6 ,11.8 ,13.0 
Qmk,100,3,8.0 ,6.0 ,8.7 ,7.8 ,11.8 ,8.2 ,10.0 ,11.3 
Tmq,100,1,6.1 ,6.4 ,7.2 ,8.9 ,11.7 ,6.4 ,12.7 ,11.0 
Tmq,100,2,6.4 ,5.9 ,6.8 ,8.5 ,10.2 ,7.6 ,12.6 ,9.6 
Tmq,100,3,7.4 ,6.1 ,7.5 ,7.5 ,12.3 ,6.3 ,12.8 ,12.2 
,,,,,,,,,,
Qmk,200,1,6.2 ,5.9 ,6.9 ,7.4 ,9.8 ,7.2 ,9.7 ,10.5 
Qmk,200,2,5.8 ,6.1 ,7.0 ,6.9 ,8.6 ,7.1 ,8.6 ,8.3 
Qmk,200,3,5.8 ,6.5 ,8.3 ,7.8 ,12.0 ,6.1 ,9.5 ,10.9 
Tmq,200,1,4.8 ,5.5 ,7.6 ,7.8 ,10.0 ,7.0 ,10.1 ,11.3 
Tmq,200,2,5.4 ,5.7 ,5.7 ,9.1 ,9.0 ,7.8 ,9.2 ,9.2 
Tmq,200,3,6.7 ,6.7 ,7.8 ,8.8 ,11.3 ,6.4 ,11.2 ,11.3 
