Model,Delta,Method,Power,MDD
101,0,Qmk,6.9 ,59.51 
101,0.1,Qmk,11.3 ,60.73 
101,0.2,Qmk,19.3 ,58.37 
101,0.3,Qmk,39.6 ,59.21 
101,0.4,Qmk,60.2 ,57.50 
101,0.5,Qmk,78.4 ,52.86 
101,0.6,Qmk,90.1 ,49.20 
101,0.7,Qmk,96.0 ,45.42 
101,0.8,Qmk,98.7 ,41.45 
101,0.9,Qmk,99.9 ,37.21 
101,1,Qmk,100.0 ,34.12 
101,1.1,Qmk,100.0 ,31.58 
101,1.2,Qmk,100.0 ,29.63 
101,1.3,Qmk,100.0 ,27.64 
101,1.4,Qmk,100.0 ,26.20 
101,1.5,Qmk,100.0 ,24.62 
101,1.6,Qmk,100.0 ,23.82 
101,1.7,Qmk,100.0 ,22.68 
101,1.8,Qmk,100.0 ,21.68 
101,1.9,Qmk,100.0 ,21.29 
101,2,Qmk,100.0 ,20.80 
102,0,Qmk,7.1 ,62.66 
102,0.1,Qmk,10.8 ,61.77 
102,0.2,Qmk,26.4 ,60.04 
102,0.3,Qmk,47.1 ,60.96 
102,0.4,Qmk,71.4 ,56.11 
102,0.5,Qmk,86.1 ,51.43 
102,0.6,Qmk,95.0 ,47.83 
102,0.7,Qmk,98.3 ,43.57 
102,0.8,Qmk,99.5 ,39.90 
102,0.9,Qmk,99.9 ,36.24 
102,1,Qmk,100.0 ,33.78 
102,1.1,Qmk,100.0 ,31.40 
102,1.2,Qmk,100.0 ,30.10 
102,1.3,Qmk,100.0 ,28.51 
102,1.4,Qmk,100.0 ,27.31 
102,1.5,Qmk,100.0 ,26.46 
102,1.6,Qmk,100.0 ,25.67 
102,1.7,Qmk,100.0 ,25.05 
102,1.8,Qmk,100.0 ,24.38 
102,1.9,Qmk,100.0 ,23.66 
102,2,Qmk,100.0 ,23.14 
103,0,Qmk,12.2 ,60.34 
103,0.1,Qmk,13.7 ,55.89 
103,0.2,Qmk,19.1 ,57.46 
103,0.3,Qmk,27.3 ,58.44 
103,0.4,Qmk,39.9 ,57.84 
103,0.5,Qmk,53.9 ,55.91 
103,0.6,Qmk,64.0 ,55.29 
103,0.7,Qmk,75.8 ,53.63 
103,0.8,Qmk,83.4 ,50.63 
103,0.9,Qmk,92.7 ,48.72 
103,1,Qmk,95.7 ,45.88 
103,1.1,Qmk,97.0 ,43.94 
103,1.2,Qmk,99.4 ,40.89 
103,1.3,Qmk,99.4 ,38.75 
103,1.4,Qmk,100.0 ,37.78 
103,1.5,Qmk,100.0 ,36.29 
103,1.6,Qmk,100.0 ,34.05 
103,1.7,Qmk,100.0 ,33.23 
103,1.8,Qmk,99.9 ,32.44 
103,1.9,Qmk,100.0 ,31.31 
103,2,Qmk,100.0 ,30.92 
104,0,Qmk,12.0 ,60.88 
104,0.1,Qmk,16.4 ,63.22 
104,0.2,Qmk,27.2 ,60.13 
104,0.3,Qmk,50.7 ,57.10 
104,0.4,Qmk,72.5 ,54.72 
104,0.5,Qmk,90.7 ,50.55 
104,0.6,Qmk,97.2 ,44.78 
104,0.7,Qmk,99.3 ,38.45 
104,0.8,Qmk,100.0 ,34.57 
104,0.9,Qmk,100.0 ,30.82 
104,1,Qmk,100.0 ,28.22 
104,1.1,Qmk,100.0 ,26.35 
104,1.2,Qmk,100.0 ,24.79 
104,1.3,Qmk,100.0 ,23.30 
104,1.4,Qmk,100.0 ,22.73 
104,1.5,Qmk,100.0 ,21.87 
104,1.6,Qmk,100.0 ,21.25 
104,1.7,Qmk,100.0 ,20.83 
104,1.8,Qmk,100.0 ,20.61 
104,1.9,Qmk,100.0 ,20.37 
104,2,Qmk,100.0 ,20.12 
