"Model","Delta","Method","Power","MDD"
201,0,"Qmk",6.9,63.9565217391304
201,0,"Tmq",6,73.8666666666667
201,0.05,"Qmk",6.4,61.546875
201,0.05,"Tmq",6.7,71.2388059701493
201,0.1,"Qmk",5.3,61.4528301886792
201,0.1,"Tmq",4.6,69.6739130434783
201,0.15,"Qmk",7,62.4857142857143
201,0.15,"Tmq",7.3,70.7534246575343
201,0.2,"Qmk",9.9,61.9090909090909
201,0.2,"Tmq",9.6,70.8020833333333
201,0.25,"Qmk",9.8,61.3265306122449
201,0.25,"Tmq",8.6,70
201,0.3,"Qmk",12.4,63.4838709677419
201,0.3,"Tmq",13.8,70.4492753623188
201,0.35,"Qmk",13.2,61.4621212121212
201,0.35,"Tmq",14.8,69.5337837837838
201,0.4,"Qmk",15.8,62.7215189873418
201,0.4,"Tmq",18.1,70.0883977900553
201,0.45,"Qmk",18.6,63.010752688172
201,0.45,"Tmq",21.3,69.4929577464789
201,0.5,"Qmk",23.6,60.1694915254237
201,0.5,"Tmq",25.7,67.7821011673152
201,0.55,"Qmk",25.4,60.7204724409449
201,0.55,"Tmq",28.6,67.9475524475525
201,0.6,"Qmk",28.9,60.4186851211073
201,0.6,"Tmq",34.1,67.4340175953079
201,0.65,"Qmk",36,61.0916666666667
201,0.65,"Tmq",39.1,66.8925831202046
201,0.7,"Qmk",34.3,59.9941690962099
201,0.7,"Tmq",40.9,66.9559902200489
201,0.75,"Qmk",41.9,57.0620525059666
201,0.75,"Tmq",50,64.776
201,0.8,"Qmk",46.5,58.8623655913978
201,0.8,"Tmq",54.3,65.3867403314917
201,0.85,"Qmk",55.9,58.1359570661896
201,0.85,"Tmq",63.3,64.434439178515
201,0.9,"Qmk",65,57.2046153846154
201,0.9,"Tmq",72.4,63.0953038674033
202,0,"Qmk",7.4,61.7702702702703
202,0,"Tmq",6.2,70.1935483870968
202,0.05,"Qmk",7.4,65.945945945946
202,0.05,"Tmq",5.8,71.8103448275862
202,0.1,"Qmk",8.2,64.5365853658537
202,0.1,"Tmq",8.2,71.7073170731707
202,0.15,"Qmk",8.9,60.3595505617978
202,0.15,"Tmq",9.8,69.5714285714286
202,0.2,"Qmk",9.3,61.5913978494624
202,0.2,"Tmq",10.9,68.9266055045872
202,0.25,"Qmk",11.7,59.2564102564103
202,0.25,"Tmq",12.4,69.8387096774194
202,0.3,"Qmk",11.2,62.5178571428571
202,0.3,"Tmq",12.5,68.928
202,0.35,"Qmk",14.9,61.1073825503356
202,0.35,"Tmq",16.2,68.2592592592593
202,0.4,"Qmk",14.5,59.6758620689655
202,0.4,"Tmq",17.1,68.8771929824561
202,0.45,"Qmk",19.4,59.3917525773196
202,0.45,"Tmq",20.7,67.1207729468599
202,0.5,"Qmk",22.9,62.0349344978166
202,0.5,"Tmq",26.6,68.2744360902256
202,0.55,"Qmk",22.1,58.2081447963801
202,0.55,"Tmq",27.7,66.6173285198556
202,0.6,"Qmk",24,59.3666666666667
202,0.6,"Tmq",33.4,68.2604790419162
202,0.65,"Qmk",29.8,58.9328859060403
202,0.65,"Tmq",34.5,64.9855072463768
202,0.7,"Qmk",34.8,59.0862068965517
202,0.7,"Tmq",40.4,65.3960396039604
202,0.75,"Qmk",37.1,57.8086253369272
202,0.75,"Tmq",45,64.9044444444445
202,0.8,"Qmk",41.8,57.5885167464115
202,0.8,"Tmq",49.7,64.6398390342052
202,0.85,"Qmk",50.3,58.4850894632207
202,0.85,"Tmq",56.5,63.5345132743363
202,0.9,"Qmk",55,57.1981818181818
202,0.9,"Tmq",62.6,62.9600638977636
203,0,"Qmk",10.9,59.2844036697248
203,0,"Tmq",11.4,68.0526315789474
203,0.05,"Qmk",12.1,58.3140495867769
203,0.05,"Tmq",13.1,68.5725190839695
203,0.1,"Qmk",13,56.9538461538462
203,0.1,"Tmq",13.6,67.875
203,0.15,"Qmk",11.6,59.2327586206897
203,0.15,"Tmq",14.4,67.9375
203,0.2,"Qmk",14.2,57.6197183098592
203,0.2,"Tmq",15.5,67.6967741935484
203,0.25,"Qmk",15.6,59.1858974358974
203,0.25,"Tmq",17.5,66.7485714285714
203,0.3,"Qmk",16.7,58.4790419161677
203,0.3,"Tmq",19.2,66.453125
203,0.35,"Qmk",13.6,57.2132352941176
203,0.35,"Tmq",18.2,66.5989010989011
203,0.4,"Qmk",14.4,55.2569444444444
203,0.4,"Tmq",19.7,65.1370558375635
203,0.45,"Qmk",15.8,57.4810126582278
203,0.45,"Tmq",19.1,65.8115183246073
203,0.5,"Qmk",19.3,56.5233160621762
203,0.5,"Tmq",22.8,64.2456140350877
203,0.55,"Qmk",19.2,54.6875
203,0.55,"Tmq",22.9,64.2620087336245
203,0.6,"Qmk",22.2,56.2477477477477
203,0.6,"Tmq",24.5,64.3224489795918
203,0.65,"Qmk",22,58.1909090909091
203,0.65,"Tmq",27,65.3481481481482
203,0.7,"Qmk",23.4,56.9615384615385
203,0.7,"Tmq",28.3,64.3286219081272
203,0.75,"Qmk",26.5,55.3962264150943
203,0.75,"Tmq",31,64.4806451612903
203,0.8,"Qmk",23.1,54.2034632034632
203,0.8,"Tmq",31.7,64.3501577287066
203,0.85,"Qmk",31.1,57.2829581993569
203,0.85,"Tmq",37.5,64.3173333333333
203,0.9,"Qmk",30.5,55.3868852459016
203,0.9,"Tmq",37.3,63.0348525469169
