"Model","Delta","Method","Power","MDD"
101,0,"statL_gauss",6.4,48.4375
101,0.1,"statL_gauss",9.2,48.1739130434783
101,0.2,"statL_gauss",17.2,51.0639534883721
101,0.3,"statL_gauss",33.7,51.1305637982196
101,0.4,"statL_gauss",53.15,48.8250235183443
101,0.5,"statL_gauss",73.05,46.2383561643836
101,0.6,"statL_gauss",86.7,42.2122260668973
101,0.7,"statL_gauss",94.65,38.6516913319239
101,0.8,"statL_gauss",98.8,33.0207489878542
101,0.9,"statL_gauss",99.55,29.4148669010547
101,1,"statL_gauss",99.95,26.3291645822911
101,1.1,"statL_gauss",100,22.884
101,1.2,"statL_gauss",100,21.0295
101,1.3,"statL_gauss",100,19.527
101,1.4,"statL_gauss",100,17.9175
101,1.5,"statL_gauss",100,16.564
101,1.6,"statL_gauss",100,15.803
101,1.7,"statL_gauss",100,14.8545
101,1.8,"statL_gauss",100,13.8575
101,1.9,"statL_gauss",100,13.439
101,2,"statL_gauss",100,12.9274637318659
102,0,"statL_gauss",5.7,55.5438596491228
102,0.1,"statL_gauss",9.3,55.3763440860215
102,0.2,"statL_gauss",21.8,53.355504587156
102,0.3,"statL_gauss",42.95,51.337601862631
102,0.4,"statL_gauss",67.55,48.5455218356773
102,0.5,"statL_gauss",86.55,44.4300578034682
102,0.6,"statL_gauss",95.7,38.9869383490073
102,0.7,"statL_gauss",99.45,33.6961770623742
102,0.8,"statL_gauss",99.9,28.8728728728729
102,0.9,"statL_gauss",100,25.384
102,1,"statL_gauss",100,22.7385
102,1.1,"statL_gauss",100,20.413
102,1.2,"statL_gauss",100,18.5785
102,1.3,"statL_gauss",100,17.134
102,1.4,"statL_gauss",100,15.9805
102,1.5,"statL_gauss",100,14.9635
102,1.6,"statL_gauss",100,13.943
102,1.7,"statL_gauss",100,13.399
102,1.8,"statL_gauss",100,12.7445
102,1.9,"statL_gauss",100,12.179
102,2,"statL_gauss",100,11.711
103,0,"statL_gauss",5.8,50.551724137931
103,0.1,"statL_gauss",6.8,51.6470588235294
103,0.2,"statL_gauss",9.5,48.7473684210526
103,0.3,"statL_gauss",14.6,52.2191780821918
103,0.4,"statL_gauss",24.95,52.7234468937876
103,0.5,"statL_gauss",35.25,51.6936170212766
103,0.6,"statL_gauss",49.4,51.6352583586626
103,0.7,"statL_gauss",62,49.683064516129
103,0.8,"statL_gauss",75.9,47.0830039525692
103,0.9,"statL_gauss",84.55,44.5925487876996
103,1,"statL_gauss",92.8,42.4094827586207
103,1.1,"statL_gauss",96.9,39.4716202270382
103,1.2,"statL_gauss",98.55,35.8254693049214
103,1.3,"statL_gauss",99.35,32.9753397081027
103,1.4,"statL_gauss",99.9,30.5185185185185
103,1.5,"statL_gauss",99.95,28.503751875938
103,1.6,"statL_gauss",100,26.3075
103,1.7,"statL_gauss",100,24.9255
103,1.8,"statL_gauss",100,23.546
103,1.9,"statL_gauss",100,22.4335
103,2,"statL_gauss",100,21.115
104,0,"statL_gauss",4.9,51.8404255319149
104,0.1,"statL_gauss",7.95,52.0754716981132
104,0.2,"statL_gauss",23.15,51.1518438177874
104,0.3,"statL_gauss",47.45,48.6708860759494
104,0.4,"statL_gauss",75.75,44.5696369636964
104,0.5,"statL_gauss",93.35,37.9028969957082
104,0.6,"statL_gauss",98.55,31.1095890410959
104,0.7,"statL_gauss",99.85,24.7856785177767
104,0.8,"statL_gauss",100,20.1215
104,0.9,"statL_gauss",100,17.4207103551776
104,1,"statL_gauss",100,14.6845
104,1.1,"statL_gauss",100,12.8174087043522
104,1.2,"statL_gauss",100,11.392196098049
104,1.3,"statL_gauss",100,10.1195597798899
104,1.4,"statL_gauss",100,9.27891837756635
104,1.5,"statL_gauss",100,8.36072144288577
104,1.6,"statL_gauss",100,7.804
104,1.7,"statL_gauss",100,7.28464232116058
104,1.8,"statL_gauss",100,6.72272272272272
104,1.9,"statL_gauss",100,6.32849273910866
104,2,"statL_gauss",100,5.90545272636318
