"Model","Delta","Method","Power","MDD"
211,0,"statL_quadexp",4.2,57.1190476190476
211,0.1,"statL_quadexp",4.75,56.0526315789474
211,0.2,"statL_quadexp",6.4,56.875
211,0.3,"statL_quadexp",11.05,58.2126696832579
211,0.4,"statL_quadexp",15.4,57.3214285714286
211,0.5,"statL_quadexp",23.65,56.661733615222
211,0.6,"statL_quadexp",32.35,57.3214837712519
211,0.7,"statL_quadexp",41.3,56.2760290556901
211,0.8,"statL_quadexp",52.05,55.0393852065322
211,0.9,"statL_quadexp",60.05,54.1748542880933
211,1,"statL_quadexp",67.85,52.3618275607959
211,1.1,"statL_quadexp",74.6,52.1950402144772
211,1.2,"statL_quadexp",81.4,50.6068796068796
211,1.3,"statL_quadexp",86.1,49.2282229965157
211,1.4,"statL_quadexp",89.8,47.7600222717149
211,1.5,"statL_quadexp",92.2,45.7440347071583
211,1.6,"statL_quadexp",93.95,44.7668972857903
211,1.7,"statL_quadexp",95.8,43.2995824634656
211,1.8,"statL_quadexp",96.8,41.9442148760331
211,1.9,"statL_quadexp",98.05,41.3972463029067
211,2,"statL_quadexp",98.85,39.6686899342438
211,2.1,"statL_quadexp",98.95,38.9029813036887
211,2.2,"statL_quadexp",99.6,37.9984939759036
211,2.3,"statL_quadexp",99.5,37.1180904522613
211,2.4,"statL_quadexp",99.65,35.9724034119418
211,2.5,"statL_quadexp",99.55,35.6534404821698
211,2.6,"statL_quadexp",99.7,35.0646940822467
211,2.7,"statL_quadexp",99.95,34.3946973486743
211,2.8,"statL_quadexp",99.85,33.3945918878317
211,2.9,"statL_quadexp",100,33.1495
211,3,"statL_quadexp",100,33.0865
211,3.1,"statL_quadexp",100,32.5955
211,3.2,"statL_quadexp",100,31.7165
211,3.3,"statL_quadexp",99.95,31.3866933466733
211,3.4,"statL_quadexp",100,31.1240620310155
211,3.5,"statL_quadexp",100,30.4445
211,3.6,"statL_quadexp",100,30.352
211,3.7,"statL_quadexp",100,29.726
211,3.8,"statL_quadexp",100,29.847
211,3.9,"statL_quadexp",100,29.4435
211,4,"statL_quadexp",100,29.3605
212,0,"statL_quadexp",5.95,52.0504201680672
212,0.1,"statL_quadexp",7,54.7428571428571
212,0.2,"statL_quadexp",9,53.5555555555556
212,0.3,"statL_quadexp",11.75,56.5512820512821
212,0.4,"statL_quadexp",19.2,58.0182291666667
212,0.5,"statL_quadexp",25.3,57.1640316205534
212,0.6,"statL_quadexp",32.75,55.5847328244275
212,0.7,"statL_quadexp",43.65,55.8476517754868
212,0.8,"statL_quadexp",52.25,54.3732057416268
212,0.9,"statL_quadexp",58.7,54.0536626916525
212,1,"statL_quadexp",69.25,52.3119133574007
212,1.1,"statL_quadexp",75.05,51.6455696202532
212,1.2,"statL_quadexp",80.25,50.4859813084112
212,1.3,"statL_quadexp",85.25,49.0592375366569
212,1.4,"statL_quadexp",87.3,47.7852233676976
212,1.5,"statL_quadexp",90.7,46.284454244763
212,1.6,"statL_quadexp",93.75,45.6512
212,1.7,"statL_quadexp",95.15,43.5160273252759
212,1.8,"statL_quadexp",97.15,43.2738033968091
212,1.9,"statL_quadexp",98.4,41.3211382113821
212,2,"statL_quadexp",97.8,40.3271983640082
212,2.1,"statL_quadexp",99,39.4712121212121
212,2.2,"statL_quadexp",99.2,38.4637096774194
212,2.3,"statL_quadexp",99.45,37.5756661639015
212,2.4,"statL_quadexp",99.45,36.5892408245349
212,2.5,"statL_quadexp",99.85,35.9088632949424
212,2.6,"statL_quadexp",99.75,35.4250626566416
212,2.7,"statL_quadexp",99.8,35.0415831663327
212,2.8,"statL_quadexp",99.9,34.3123123123123
212,2.9,"statL_quadexp",100,33.7465
212,3,"statL_quadexp",100,33.1125
212,3.1,"statL_quadexp",99.95,33.0350175087544
212,3.2,"statL_quadexp",99.95,32.2341170585293
212,3.3,"statL_quadexp",100,31.7955
212,3.4,"statL_quadexp",100,31.2195
212,3.5,"statL_quadexp",100,31.06
212,3.6,"statL_quadexp",99.95,30.7873936968484
212,3.7,"statL_quadexp",100,30.045
212,3.8,"statL_quadexp",100,29.8299149574787
212,3.9,"statL_quadexp",100,30.116
212,4,"statL_quadexp",100,29.505
213,0,"statL_quadexp",4.55,52.1868131868132
213,0.1,"statL_quadexp",4.85,53.2577319587629
213,0.2,"statL_quadexp",5.5,51.1272727272727
213,0.3,"statL_quadexp",5.85,54.0854700854701
213,0.4,"statL_quadexp",7.8,54.1282051282051
213,0.5,"statL_quadexp",9.15,56.4863387978142
213,0.6,"statL_quadexp",10.95,57.0502283105023
213,0.7,"statL_quadexp",13.7,57.6386861313869
213,0.8,"statL_quadexp",17.85,60.1932773109244
213,0.9,"statL_quadexp",21.95,58.9225512528474
213,1,"statL_quadexp",24.3,58.798353909465
213,1.1,"statL_quadexp",29.35,58.7836456558773
213,1.2,"statL_quadexp",34.1,59.2316715542522
213,1.3,"statL_quadexp",37.15,59.3189771197847
213,1.4,"statL_quadexp",44.9,58.5946547884187
213,1.5,"statL_quadexp",48.6,58.8158436213992
213,1.6,"statL_quadexp",52.75,58.6255924170616
213,1.7,"statL_quadexp",55.95,58.2421805183199
213,1.8,"statL_quadexp",59.5,57.9100840336134
213,1.9,"statL_quadexp",64.15,57.3647700701481
213,2,"statL_quadexp",66.4,56.8373493975904
213,2.1,"statL_quadexp",72.1,56.8890429958391
213,2.2,"statL_quadexp",71.95,55.3036831132731
213,2.3,"statL_quadexp",75.55,55.8060886829914
213,2.4,"statL_quadexp",78.1,55.1946222791293
213,2.5,"statL_quadexp",80.55,55.1731843575419
213,2.6,"statL_quadexp",82.2,54.2591240875912
213,2.7,"statL_quadexp",84.35,54.4505038529935
213,2.8,"statL_quadexp",85.25,53.4551319648094
213,2.9,"statL_quadexp",88.05,53.9136854060193
213,3,"statL_quadexp",89.3,52.8516237402016
213,3.1,"statL_quadexp",90.1,52.5804661487236
213,3.2,"statL_quadexp",89.85,52.1079577072899
213,3.3,"statL_quadexp",92.3,51.8748645720477
213,3.4,"statL_quadexp",92.2,52.1605206073753
213,3.5,"statL_quadexp",93.35,50.7134440278522
213,3.6,"statL_quadexp",93.8,50.1503198294243
213,3.7,"statL_quadexp",94.8,50.1830168776371
213,3.8,"statL_quadexp",94.8,50.7943037974684
213,3.9,"statL_quadexp",95.05,49.9342451341399
213,4,"statL_quadexp",95.9,49.4285714285714
214,0,"statL_quadexp",4.75,47.1444444444444
214,0.1,"statL_quadexp",5.8,48.0088495575221
214,0.2,"statL_quadexp",6.75,47.8507462686567
214,0.3,"statL_quadexp",10.75,47.4319248826291
214,0.4,"statL_quadexp",12.85,45.1750972762646
214,0.5,"statL_quadexp",17.1,46.0351906158358
214,0.6,"statL_quadexp",21,47.3389021479714
214,0.7,"statL_quadexp",27.75,45.554347826087
214,0.8,"statL_quadexp",35.25,45.6846590909091
214,0.9,"statL_quadexp",44.05,44.7819634703196
214,1,"statL_quadexp",50.5,45.0357142857143
214,1.1,"statL_quadexp",59.65,44.6943744752309
214,1.2,"statL_quadexp",67.8,43.8716814159292
214,1.3,"statL_quadexp",73.05,42.1505817932923
214,1.4,"statL_quadexp",79.45,42.0724637681159
214,1.5,"statL_quadexp",84.8,40.4598583234947
214,1.6,"statL_quadexp",87.4,39.020618556701
214,1.7,"statL_quadexp",91.95,37.6441784548422
214,1.8,"statL_quadexp",94.45,35.8924788135593
214,1.9,"statL_quadexp",96.35,34.7664763881681
214,2,"statL_quadexp",97.55,32.36
214,2.1,"statL_quadexp",98.55,31.4316912138141
214,2.2,"statL_quadexp",99.1,30.0464646464646
