"lag","m","L","N301-Power","N301-MDD","N302-Power","N302-MDD","N303-Power","N303-MDD","N304-Power","N304-MDD","N305-Power","N305-MDD","N306-Power","N306-MDD"
0,100,1,84.3,36.07,93.1,32.52,31.8,39.47,2.6,56.35,35.6,40.51,10.8,48.71
0,100,2,89.6,61.94,98.3,49.73,33.5,70.14,3.5,81.41,31.9,73.46,14.8,80.57
0,100,3,93.5,88.73,99.4,63.06,25.7,96.05,4.1,131.39,29.1,96.57,21.3,107.32
0,200,1,97.8,55.98,99,53.2,37.4,77.8,2,116.85,36.9,77.14,12.2,93.78
0,200,2,99.6,91.88,100,80.86,30.6,135.09,3.6,194.77,37.9,135.45,15.5,167.34
0,200,3,99.8,115.97,100,94.06,32,178.83,3.5,269.12,30.7,184.04,18.6,227.71
1,100,1,87,38.97,91.8,38.05,43.7,43.08,23.4,63.21,36.4,42.3,16,50.19
1,100,2,94.3,62.72,98.3,56.08,36.8,86.07,41.3,115.25,31.5,70.15,19.8,85.19
1,100,3,96.7,91.84,99.4,72.89,32.4,121.42,47,159.59,28.6,99.86,23.4,109.36
1,200,1,98.2,60.55,99.3,57.71,54.6,92.78,62.7,126.25,30.8,83.36,12.5,97.94
1,200,2,100,92.76,100,89.99,64.3,180.53,91.6,215.17,33.7,130.36,19.2,149.96
1,200,3,99.9,132.07,100,103.51,59.6,271.91,93.8,308.06,29,188.92,23.3,230.89
2,100,1,86.7,38.07,93,35.72,39.1,43.65,2.8,56.29,41.3,45.56,60.8,57.77
2,100,2,92.5,64.49,97.6,59.58,33.1,79.62,4.5,98.18,43.1,85.68,92,88.31
2,100,3,96.7,88.77,98.8,73.83,31.1,103.77,5,134.38,46.8,119.36,91.7,130.29
2,200,1,98.5,64.54,99.6,61.01,44.3,88.76,1.2,103.42,62.6,95.24,99,96.61
2,200,2,99.9,103.71,100,90.76,46.6,162.56,3.1,206.32,73.5,170.44,99.9,137.93
2,200,3,100,111.48,100,98.63,46.2,229.47,2.8,299.11,70.9,262.65,100,176.07
