"lag","m","L","N301-Power","N301-MDD","N302-Power","N302-MDD","N303-Power","N303-MDD","N304-Power","N304-MDD","N305-Power","N305-MDD","N306-Power","N306-MDD"
0,100,1,77.5,40.04,86.9,40.84,30.8,40.01,4.7,61.79,32,45.46,15.5,53.08
0,100,2,88.9,67.7,93.9,69.18,28.7,70.24,7.1,102.8,24.7,76.79,12,80.99
0,100,3,91.2,97.67,96.6,92.22,24.2,98.11,4.4,121.55,20.8,98.61,16.6,114.77
0,200,1,96.1,66.21,97.5,67.33,32.9,81.74,2.3,120.65,39.3,78.11,13.6,99.26
0,200,2,98.3,105.76,99.9,102.32,27.7,140.35,3.5,210.14,26.3,145.13,16.5,168.84
0,200,3,99.5,138.04,100,122.14,20.9,198.32,3.5,242.24,21,195.36,18,225.99
1,100,1,57.7,53.23,68.7,52.53,57.6,52.23,73.1,60.75,37.8,44.32,9.4,54.31
1,100,2,66.5,97.56,79.6,92.49,66.9,95,90.7,99.56,27.2,81.95,12.5,97.52
1,100,3,78.7,126.04,86.2,128.09,72.1,135.57,93.5,139.06,23.7,98.32,15.6,139.1
1,200,1,87.2,96.04,93.4,88.98,89.7,96.16,99.7,95.94,36.5,89.48,13.1,119.98
1,200,2,95.3,158.19,99.2,135.77,97.3,152.45,100,140.47,28.5,151.41,16.6,186.48
1,200,3,97,210.59,98.7,185.51,98,209.29,100,174.23,25.1,204.24,19.6,256.99
2,100,1,52.9,52.29,62,54.53,40.2,49.05,3.4,58.18,56.8,54.49,87.3,55.24
2,100,2,69.8,89.9,75.8,92.55,35.6,92.33,4,96.7,68.4,94.67,98.6,83.32
2,100,3,75.6,129.57,71.4,137.84,38.8,133.09,3.8,162.55,75.2,130.19,98.2,115.81
2,200,1,84.3,91.71,92.5,90.2,55.2,100.98,2.7,126.11,91.5,94.02,99.7,82.28
2,200,2,95.6,149.27,95.5,155.26,64.1,188.08,3.1,216.87,96.9,157.21,100,112.24
2,200,3,97.1,198.41,97.7,205.52,69.7,261.04,4.1,282.68,98.8,192.56,100,137.14
